setting,voxel_size,context_radius,context_side,mean_macro_f1,worst_macro_f1,direction_std,mean_fnr,mean_fpr,is_final_setting
v0p10_r1,0.1,1,3,0.9179063922186899,0.5584569101328771,0.17653644617932696,0.018779342723004695,0.11959093982420554,False
v0p20_r1,0.2,1,3,0.9897914001952791,0.9680566056940123,0.01583703401696974,0.022513871105420403,0.0,True
v0p20_r2,0.2,2,5,0.9941657412083588,0.97973680326886,0.009205463039523314,0.012910798122065728,0.0,False
v0p20_r3,0.2,3,7,0.995859109959459,0.987577329878377,0.006415039266196577,0.00917626973965002,0.0,False
v0p30_r1,0.3,1,3,0.9915780022429237,0.9618906835791647,0.015369205924138114,0.01856594110115237,0.0,False
v0p40_r1,0.4,1,3,0.9954725469754866,0.9855477592489408,0.007035443965179172,0.010029876227059325,0.0,False
