variant,model,mean_macro_f1,worst_macro_f1,direction_std,mean_fnr,mean_fpr,parameter_count
E0_G,Geometry only,0.478447126364752,0.3,0.14177960601646236,0.5699329701668948,0.277863116572794,8130
E1_A,Absolute degradation only,0.7590968020440725,0.3,0.3536347206009579,0.018779342723004695,0.3333333333333333,7234
E2_R,Relative degradation only,0.9850647774662322,0.9533221138960534,0.02316782626765504,0.03279271589130744,0.0,7250
E3_GA,Geometry + absolute degradation,0.7958950060924131,0.3,0.30208507286305697,0.02265613885332195,0.27777777777777773,10882
E4_GR,Geometry + relative degradation (LRDG-Net),0.9885686531972887,0.964922445902355,0.017716297943360347,0.025181391378574475,0.0,10898
