variant,train_source,test_domain,macro_f1_mean,macro_f1_std,fnr_mean,fpr_mean,runs
E0_G,10m,20m,0.7167751918405617,0.08715583416280538,0.5513978494623656,0.0,3
E0_G,10m,5m,0.5353134868469102,0.06361960016849859,0.8096457533077251,0.00017067759003242875,3
E0_G,20m,10m,0.3,0.0,0.0,1.0,3
E0_G,20m,5m,0.38946842258218894,0.14169287142773604,0.2633376013657704,0.6670080218467316,3
E0_G,5m,10m,0.47735148694413976,0.014625230446665803,0.8861843588009917,0.0,3
E0_G,5m,20m,0.45177416997471137,0.0,0.9090322580645162,0.0,3
E1_A,10m,20m,1.0,0.0,0.0,0.0,3
E1_A,10m,5m,0.9744907215896307,0.0,0.056338028169014086,0.0,3
E1_A,20m,10m,1.0,0.0,0.0,0.0,3
E1_A,20m,5m,0.9744907215896307,0.0,0.056338028169014086,0.0,3
E1_A,5m,10m,0.3,0.0,0.0,1.0,3
E1_A,5m,20m,0.3055993690851735,0.0,0.0,1.0,3
E2_R,10m,20m,1.0,0.0,0.0,0.0,3
E2_R,10m,5m,0.9570665509013404,0.006926492581871795,0.09432351685872813,0.0,3
E2_R,20m,10m,1.0,0.0,0.0,0.0,3
E2_R,20m,5m,0.9533221138960534,0.007165786442524409,0.10243277848911651,0.0,3
E2_R,5m,10m,1.0,0.0,0.0,0.0,3
E2_R,5m,20m,1.0,0.0,0.0,0.0,3
E3_GA,10m,20m,1.0,0.0,0.0,0.0,3
E3_GA,10m,5m,0.966055462781256,0.014610296831098024,0.07469056764831412,0.0,3
E3_GA,20m,10m,1.0,0.0,0.0,0.0,3
E3_GA,20m,5m,0.9722483277164414,0.0038839401189451955,0.06124626547161758,0.0,3
E3_GA,5m,10m,0.3,0.0,0.0,1.0,3
E3_GA,5m,20m,0.5370662460567823,0.40091239118412103,0.0,0.6666666666666666,3
E4_GR,10m,20m,1.0,0.0,0.0,0.0,3
E4_GR,10m,5m,0.9664894732813778,0.004049426912870837,0.07383696116090482,0.0,3
E4_GR,20m,10m,1.0,0.0,0.0,0.0,3
E4_GR,20m,5m,0.964922445902355,0.004998567858365878,0.07725138711054204,0.0,3
E4_GR,5m,10m,1.0,0.0,0.0,0.0,3
E4_GR,5m,20m,1.0,0.0,0.0,0.0,3
