run_id,setting,seed,test_distance_m,clean_calibration_pcaps,calibration_distances_m,macro_f1,recordings,tn,fp,fn,tp,fpr,fnr,auroc,auprc,target_clean_frames,target_center,target_scale,target_scale_method,source_threshold_normalized,target_contaminated_labels_used_for_calibration,network_parameters_updated,calibration_choice_index,target_clean_distances_m,target_clean_pcaps
K1_clean_norm|seed42|test8|cal19,K1_clean_norm,42,8.0,1,19,0.42857142857142855,4,0,1,0,3,1.0,0.0,1.0,1.0,44,47.02103614807129,2.029947484857436,1.4826*MAD,2.601763063965054,False,False,10.0,[19.0],1.0
K1_clean_norm|seed2026|test8|cal19,K1_clean_norm,2026,8.0,1,19,0.42857142857142855,4,0,1,0,3,1.0,0.0,1.0,1.0,44,29.25775909423828,2.0140041268024484,1.4826*MAD,2.0293350860262125,False,False,10.0,[19.0],1.0
K1_clean_norm|seed3407|test8|cal18,K1_clean_norm,3407,8.0,1,18,0.42857142857142855,4,0,1,0,3,1.0,0.0,1.0,1.0,38,30.30896759033203,1.3771930941390218,1.4826*MAD,1.9443650291611554,False,False,9.0,[18.0],1.0
K1_clean_norm|seed3407|test8|cal19,K1_clean_norm,3407,8.0,1,19,0.42857142857142855,4,0,1,0,3,1.0,0.0,1.0,1.0,44,29.886932373046875,1.0839645381838776,1.4826*MAD,1.9443650291611554,False,False,10.0,[19.0],1.0
K1_clean_norm|seed3407|test8|cal20,K1_clean_norm,3407,8.0,1,20,0.42857142857142855,4,0,1,0,3,1.0,0.0,1.0,1.0,46,30.255446434020996,1.3527379397474755,1.4826*MAD,1.9443650291611554,False,False,11.0,[20.0],1.0
K3_clean_norm|seed3407|test8|cal18;19;20,K3_clean_norm,3407,8.0,3,18;19;20,0.42857142857142855,4,0,1,0,3,1.0,0.0,1.0,1.0,128,30.141469955444336,1.3300063534180915,1.4826*MAD,1.9443650291611554,False,False,219.0,"[18.0, 19.0, 20.0]",3.0
K1_clean_norm|seed3407|test9|cal19,K1_clean_norm,3407,9.0,1,19,0.42857142857142855,4,0,1,0,3,1.0,0.0,1.0,1.0,44,29.886932373046875,1.0839645381838776,1.4826*MAD,1.9443650291611554,False,False,10.0,[19.0],1.0
K1_clean_norm|seed3407|test13|cal19,K1_clean_norm,3407,13.0,1,19,0.42857142857142855,4,0,1,0,3,1.0,0.0,1.0,1.0,44,29.886932373046875,1.0839645381838776,1.4826*MAD,1.9443650291611554,False,False,10.0,[19.0],1.0
