model,mean_macro_f1,worst_macro_f1,direction_std,mean_fnr,mean_fpr,params
autogran,0.9225546837125514,0.7273376239846069,0.1104614907216644,0.15758646006729812,0.0,582
dgcnn,0.6592110614014715,0.4106721507162812,0.24145866103711125,0.09672099076638596,0.43535932479529943,1799938
globalstats,0.546806000723326,0.3,0.30021784338168706,0.3276941500717804,0.3662384494027496,4162
pointnet,0.669966935264458,0.32700926742985575,0.24054546861575762,0.3144482209675516,0.2521155971967331,1608715
pointnet2_ref,0.9115401376565346,0.7752185099473067,0.08638289200102382,0.11523000804340744,0.055809105251295926,1461890
pointnext,0.8784374532551259,0.7313092250791056,0.11534071955981341,0.07797944120111898,0.1482131620002675,750338
rangenet,0.43791526995201063,0.3,0.12731251213437297,0.08808076218798618,0.7610434978589137,3799634
