model,5m→10m,5m→20m,10m→5m,10m→20m,20m→5m,20m→10m,mean_macro_f1,worst_macro_f1,direction_std,mean_fnr,mean_fpr,params
Global-Statistics MLP,0.3,0.3055993690851735,0.3710698679059928,0.8807020721580424,0.4521280799087239,0.9713366152820234,0.546806000723326,0.3,0.300217843381687,0.3276941500717804,0.3662384494027496,4162
RangeNet,0.3,0.3055993690851735,0.4733074673916589,0.5294866775188548,0.3986131898755474,0.6204849158408295,0.4379152699520106,0.3,0.1273125121343729,0.0880807621879861,0.7610434978589137,3799634
PointNet,0.7402197814876516,0.6508549239652511,0.3270092674298557,0.9999039716397332,0.8194370921279793,0.482376574936277,0.669966935264458,0.3270092674298557,0.2405454686157576,0.3144482209675516,0.2521155971967331,1608715
PointNet++,0.9212580805860972,0.852040896525155,0.7752185099473067,0.9965421551027936,0.9249705430953142,0.9992106406825408,0.9115401376565346,0.7752185099473067,0.0863828920010238,0.1152300080434074,0.0558091052512959,1461890
DGCNN,0.8278148783141367,0.4511163941145848,0.4900359414137218,0.9993276811676232,0.4106721507162812,0.7762993226824807,0.6592110614014715,0.4106721507162812,0.2414586610371112,0.0967209907663859,0.4353593247952994,1799938
PointNeXt-S,0.7313092250791056,0.7691902733450829,0.9588166949980385,0.997017535247655,0.8337786623968181,0.9805123284640556,0.8784374532551259,0.7313092250791056,0.1153407195598134,0.0779794412011189,0.1482131620002675,750338
AutoGrAN,0.9785275828994304,0.9856160609504432,0.8519565411243554,1.0,0.7273376239846069,0.991890293316473,0.9225546837125514,0.7273376239846069,0.1104614907216644,0.1575864600672981,0.0,582
LRDG-Net,1.0,1.0,0.9664894732813778,1.0,0.964922445902355,1.0,0.9885686531972887,0.964922445902355,0.01771629794336035,0.025181391378574464,0.0,10898
